"t,L_avg"
3.22,8.141851651419391e-14
3.24,-6.408978965795118e-06
3.2600000000000002,2.2106658733600978e-10
3.2800000000000002,0.08835092928706152
3.3000000000000003,-3.412608413036653e-14
3.3200000000000003,-4.5267495832667925e-14
3.34,-6.605852367220672e-06
3.36,1.3040602712378833e-09
3.38,1.0431670934043626e-05
3.4,2.1609678625504695e-13
3.42,-6.750425590346435e-13
3.44,2.91745679196668e-06
3.46,3.9032368753692533e-10
3.48,4.173258585820323e-05
3.5,4.7354279197091957e-14
3.52,-2.380174364266823e-12
3.54,-0.029127999977690295
3.56,2.0513288087183554e-11
3.58,1.5889691640570967e-06
3.6,1.808140019073291e-15
3.62,-6.359075497414804e-14
3.64,-3.458985027798059e-05
3.66,3.155792497032204e-12
3.68,2.5814425633944847e-08
3.7,1.9755361369963167e-15
3.72,7.227281019485441e-13
3.74,-8.737901489956664e-05
3.7600000000000002,9.92012702657104e-13
3.7800000000000002,3.596568548106571e-10
3.8000000000000003,3.428837132342447e-15
3.8200000000000003,8.229599421906951e-13
3.84,-4.492188831852971e-05
3.86,5.369618500103565e-14
3.88,3.761574204370498e-12
3.9,1.9307277938275825e-17
3.92,-1.1060197870907164e-13
3.94,-0.14321325571371707
3.96,-5.728759376455593e-15
3.98,3.744810446700836e-14
4.0,-1.2493495243146768e-17
