"t,L_avg"
2.68,3.051263615635648e-06
2.7,3.905929943817537e-06
2.72,1.999288203553811e-06
2.74,1.673825984924514e-06
2.7600000000000002,1.3770920978473715e-06
2.7800000000000002,7.93548387700256e-07
2.8000000000000003,6.492982424820024e-07
2.82,4.367664567976921e-07
2.84,2.7779969518869535e-07
2.86,1.9047650479333777e-07
2.88,1.5267472893189795e-07
2.9,1.255318876263836e-07
2.92,9.198001601754206e-08
2.94,6.351074713115415e-08
2.96,4.7232827816867005e-08
2.98,4.032146035483319e-08
3.0,3.6264010030938067e-08
3.02,3.411395970257263e-08
3.04,3.712707531535519e-08
3.06,3.7346335753188294e-08
3.08,4.7397632937092925e-08
3.1,3.275583678578098e-08
3.12,3.5347406822516845e-08
3.14,4.3553739345773844e-08
3.16,2.737325498848157e-08
3.18,6.155955145763629e-08
3.2,5.0003588764548115e-08
3.22,2.6661024701876478e-08
3.24,5.4330549074828886e-08
3.2600000000000002,2.000392944678544e-08
3.2800000000000002,1.3341433718637843e-08
3.3000000000000003,1.1829825793840897e-08
3.3200000000000003,5.35947761911285e-09
3.34,4.234950175469686e-08
3.36,3.205893272055191e-08
3.38,2.4827283298710152e-09
3.4,3.60382428654485e-08
3.42,1.02176630051507e-08
3.44,9.153148546253042e-09
3.46,2.3501129143476394e-08
3.48,2.0182077390741583e-09
3.5,9.003247222662326e-09
3.52,7.905584768339326e-09
3.54,1.355101274684413e-09
3.56,4.2930699853790474e-09
3.58,1.5889254916277959e-09
3.6,9.024967694375342e-10
3.62,1.7766744489483844e-09
3.64,1.2188560860122613e-09
3.66,2.371143842223359e-09
3.68,3.515859851158777e-09
3.7,2.6724650524200803e-09
3.72,4.018020642438489e-09
3.74,1.7466457496067673e-09
3.7600000000000002,3.2475035601298727e-09
3.7800000000000002,4.840601457587094e-09
3.8000000000000003,6.328710157992359e-09
3.8200000000000003,5.798893830740366e-09
3.84,4.100798220155305e-09
3.86,2.413599308221131e-09
3.88,9.035763602906902e-10
3.9,2.9122298877173666e-10
3.92,1.7917663579276018e-10
3.94,9.588941716133638e-11
3.96,1.6042522650070285e-11
3.98,4.095819226120528e-11
4.0,2.344915607231185e-10
